nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death
Britain,Ground_vehicles,2025-01-30,2.7 ~ 3.7,2.7,1004.0,62.46940808195788,0.7442881474103586,0.0,0.0,0.23696635023802134,0.6784494509083252
Britain,Ground_vehicles,2025-01-30,3.0 ~ 4.0,3.0,1355.0,84.66936215076436,0.6699039852398524,0.3127306273062731,0.1701476014760147,0.17549528711781123,0.4997251246282092
Britain,Ground_vehicles,2025-01-30,3.3 ~ 4.3,3.3,1319.0,145.2034261164663,0.6350616376042456,0.3212661106899167,0.1747915087187263,0.08556319778215035,0.2148462829688479
Britain,Ground_vehicles,2025-01-30,3.7 ~ 4.7,3.7,2383.0,199.00807105888936,0.6315143936214854,0.1778220730172052,0.0967477968946705,0.14937543443452816,0.31097386038373565
Britain,Ground_vehicles,2025-01-30,4.0 ~ 5.0,4.0,2222.0,209.5391089108911,0.6096884788478848,0.1907065706570657,0.1037578757875787,0.1431384954511676,0.27445971345992326
Britain,Ground_vehicles,2025-01-30,4.3 ~ 5.3,4.3,3602.0,240.18956829539144,0.5215943920044419,0.18247084952804,0.1995197112715158,0.18179356414417155,0.35249666711426236
Britain,Ground_vehicles,2025-01-30,4.7 ~ 5.7,4.7,3103.0,238.692338059942,0.5042740251369642,0.2118143731872381,0.2316048984853367,0.19871526298832176,0.3933964011002957
Britain,Ground_vehicles,2025-01-30,5.0 ~ 6.0,5.0,2379.0,237.9088377469525,0.46000239596469106,0.2762757461118117,0.3020891130727197,0.1868360482006519,0.4033226136913123
Britain,Ground_vehicles,2025-01-30,5.3 ~ 6.3,5.3,3143.0,226.50624403436208,0.4716358256442889,0.2091186764237989,0.2321253579382755,0.18512997372320356,0.38728458702976604
Britain,Ground_vehicles,2025-01-30,5.7 ~ 6.7,5.7,2077.0,208.9726769378912,0.5602143957631199,0.0070871449205584,0.0070197400096292,0.16881645516038496,0.3508367825146139
Britain,Ground_vehicles,2025-01-30,6.0 ~ 7.0,6.0,2309.0,199.63111736682544,0.5436521870939801,0.0063750541359896,0.006314421827631,0.16714006060846961,0.3559049231071811
Britain,Ground_vehicles,2025-01-30,6.3 ~ 7.3,6.3,2234.0,226.73377350044763,0.5383880931065353,0.0065890778871978,0.0065264100268576,0.1600853792866158,0.3345326965594384
Britain,Ground_vehicles,2025-01-30,6.7 ~ 7.7,6.7,8339.0,671.9238151390387,0.585932365991126,0.0017651996642283,0.000441299916057,0.11100478032173822,0.3054123747438527
Britain,Ground_vehicles,2025-01-30,7.0 ~ 8.0,7.0,8850.0,682.1034777150031,0.6015074689265536,0.0,0.0,0.11769732006251135,0.32344233173292375
Britain,Ground_vehicles,2025-01-30,7.3 ~ 8.3,7.3,13460.0,640.0222717516922,0.6360639895988113,0.0684606240713224,0.0514056463595839,0.12854906326703397,0.33972427467255334
Britain,Ground_vehicles,2025-01-30,7.7 ~ 8.7,7.7,15571.0,644.0616388014757,0.6374307944255346,0.0591792434654164,0.0444364523794232,0.12585655372295315,0.33621760802765316
Britain,Ground_vehicles,2025-01-30,8.0 ~ 9.0,8.0,9469.0,536.5143978596824,0.669903675150491,0.0973154504171507,0.073072130108776,0.14864942627808897,0.3867132309063043
Britain,Ground_vehicles,2025-01-30,8.3 ~ 9.3,8.3,10847.0,584.0421775606159,0.6525114501705541,0.084952521434498,0.0637890661012261,0.13937711139160164,0.37697897573455763
Britain,Ground_vehicles,2025-01-30,8.7 ~ 9.7,8.7,7273.0,733.9383335624914,0.6125075072184792,0.0,0.0,0.12299628613848824,0.3498763959126586
Britain,Ground_vehicles,2025-01-30,9.0 ~ 10.0,9.0,5839.0,743.708939886967,0.5905429525603698,0.0437009761945538,0.0724661757150197,0.11406812682226808,0.30408557777548956
Britain,Ground_vehicles,2025-01-30,9.3 ~ 10.3,9.3,6536.0,684.9802937576499,0.5879333384332924,0.1275994492044063,0.1481012851897185,0.09681546983027015,0.23497385925365483
Britain,Ground_vehicles,2025-01-30,9.7 ~ 10.7,9.7,9138.0,1064.1239001969798,0.6122491792514774,0.0912661413876121,0.1059301816590063,0.10946990839023991,0.27258972481581834
Britain,Ground_vehicles,2025-01-30,10.0 ~ 11.0,10.0,7870.0,1031.275756035578,0.6210863786531132,0.1059707750952986,0.122997458703939,0.1135532184817791,0.28361426381945465
Britain,Ground_vehicles,2025-01-30,10.3 ~ 11.3,10.3,6798.0,1109.377493380406,0.6346309208590762,0.0851456310679611,0.0801500441306266,0.12386160130343449,0.3181610624778772
Britain,Ground_vehicles,2025-01-30,10.7 ~ 11.7,10.7,12423.0,1150.4484079069923,0.5750645576752796,0.0732995250744586,0.0581341060935361,0.11801317252928749,0.31043468935330576
Britain,Ground_vehicles,2025-01-30,11.0 ~ 12.0,11.0,9824.0,1111.4865707887388,0.5454055171009773,0.0926913680781758,0.0735138436482084,0.11205100365273059,0.3069804675494628
Britain,Ground_vehicles,2025-01-30,11.3 ~ 12.3,11.3,9824.0,1111.4865707887388,0.5454055171009773,0.0926913680781758,0.0735138436482084,0.11205100365273059,0.3069804675494628
Britain,Ground_vehicles,2025-01-30,11.7 ~ 12.7,11.7,9824.0,1111.4865707887388,0.5454055171009773,0.0926913680781758,0.0735138436482084,0.11205100365273059,0.3069804675494628
Britain,Ground_vehicles,2025-01-30,12.0 ~ 13.0,12.0,2735.0,1367.5,0.6012746252285193,0.0,0.0,0.13042514478681438,0.3941899443701196
Britain,Ground_vehicles,2025-01-27,1.0 ~ 2.0,1.0,208.0,21.145192307692305,0.5303947115384615,0.0,0.1009615384615384,0.16830388121455409,0.41387186732306264
Britain,Ground_vehicles,2025-01-27,1.3 ~ 2.3,1.3,127.0,14.153805774278217,0.3070866141732284,0.0,0.1653543307086614,0.09433009804775877,0.24727064151380534
Britain,Ground_vehicles,2025-01-27,1.7 ~ 2.7,1.7,269.0,21.31908302354399,0.6672862453531598,0.0,0.0780669144981412,0.14132882430976149,0.26091641240895885
Britain,Ground_vehicles,2025-01-27,2.0 ~ 3.0,2.0,748.0,61.19117647058823,0.677965240641711,0.0,0.0280748663101604,0.24011893021223887,0.6138941944558699
Britain,Ground_vehicles,2025-01-27,2.3 ~ 3.3,2.3,845.0,56.371935756551146,0.7049274556213017,0.0,0.0,0.2232970981261563,0.6074648399840573
Britain,Ground_vehicles,2025-01-27,2.7 ~ 3.7,2.7,987.0,57.46938775510204,0.7518190476190475,0.0,0.0,0.22538347572248715,0.6398898486799167
Britain,Ground_vehicles,2025-01-27,3.0 ~ 4.0,3.0,1316.0,80.12369735128094,0.6875992401215805,0.3493085106382978,0.2513373860182371,0.1678295241882923,0.4769783830416493
Britain,Ground_vehicles,2025-01-27,3.3 ~ 4.3,3.3,1305.0,138.28553183725597,0.6534364750957855,0.3522528735632183,0.253455938697318,0.0861479380390793,0.22044872687985448
Britain,Ground_vehicles,2025-01-27,3.7 ~ 4.7,3.7,2359.0,196.73723329094247,0.6294312420517169,0.1948664688427299,0.1402119542178889,0.14161203145132628,0.315606591849667
Britain,Ground_vehicles,2025-01-27,4.0 ~ 5.0,4.0,2192.0,207.4848540145985,0.610605200729927,0.2097125912408758,0.1508941605839416,0.13702188758658984,0.28392469539254406
Britain,Ground_vehicles,2025-01-27,4.3 ~ 5.3,4.3,3521.0,234.82073274637887,0.5202900028401023,0.1757228060210167,0.1971087759159329,0.17937314228157145,0.35615049052159997
Britain,Ground_vehicles,2025-01-27,4.7 ~ 5.7,4.7,3041.0,234.0032226241368,0.5078819796119698,0.2034593883590924,0.2282209799408089,0.1959412539187729,0.39547748232206126
Britain,Ground_vehicles,2025-01-27,5.0 ~ 6.0,5.0,2311.0,231.10623106880135,0.4650514495889225,0.2677282561661618,0.3003115534400692,0.19144209554860975,0.4096987502916728
Britain,Ground_vehicles,2025-01-27,5.3 ~ 6.3,5.3,3084.0,221.61762321660183,0.47480885214007784,0.2006225680933852,0.2250389105058365,0.18715874370043475,0.388627492960085
Britain,Ground_vehicles,2025-01-27,5.7 ~ 6.7,5.7,2049.0,205.9770619814544,0.5651354319180087,0.013103953147877,0.0043679843826256,0.17168320634171055,0.3531795063427199
Britain,Ground_vehicles,2025-01-27,6.0 ~ 7.0,6.0,2269.0,196.67122080211547,0.5500617893345086,0.0118334067871308,0.0039444689290436,0.17003773457838756,0.3594500401004332
Britain,Ground_vehicles,2025-01-27,6.3 ~ 7.3,6.3,2171.0,218.0393827729157,0.5382794564716721,0.0123675725472132,0.0041225241824044,0.1610301593461952,0.33190341095874265
Britain,Ground_vehicles,2025-01-27,6.7 ~ 7.7,6.7,8203.0,666.7459906267355,0.5923705595513837,0.0032731927343654,0.0010910642447884,0.11092408246501219,0.30394660596296375
Britain,Ground_vehicles,2025-01-27,7.0 ~ 8.0,7.0,8779.0,677.1962005290403,0.6067311538899647,0.0,0.0,0.1185826409344421,0.32468293669529086
Britain,Ground_vehicles,2025-01-27,7.3 ~ 8.3,7.3,13172.0,629.0103418024767,0.6407628378378378,0.0663020042514424,0.051053750379593,0.12918539954771793,0.3409142807756638
Britain,Ground_vehicles,2025-01-27,7.7 ~ 8.7,7.7,15180.0,629.8877122676035,0.6437133069828721,0.0575316205533597,0.044300395256917,0.1276962085945538,0.33698031446381754
Britain,Ground_vehicles,2025-01-27,8.0 ~ 9.0,8.0,9127.0,514.8582624204132,0.6771318505533034,0.0956864248931741,0.0736802892516708,0.15260693173491938,0.3921134294567906
Britain,Ground_vehicles,2025-01-27,8.3 ~ 9.3,8.3,10529.0,570.0014510188792,0.6561868268591509,0.0829451989742615,0.0638693133251021,0.14062278587120913,0.37712751434818426
Britain,Ground_vehicles,2025-01-27,8.7 ~ 9.7,8.7,7160.0,724.1148743016761,0.6123883938547486,0.0,0.0,0.12523546590770804,0.3504442188528005
Britain,Ground_vehicles,2025-01-27,9.0 ~ 10.0,9.0,5833.0,741.1932539002228,0.5874220984056231,0.0414435110577747,0.0692473855648894,0.11321906708286159,0.3057818622219485
Britain,Ground_vehicles,2025-01-27,9.3 ~ 10.3,9.3,6440.0,684.7832996894409,0.5831923913043479,0.1198664596273292,0.1378757763975155,0.09646920304990686,0.23663537044019772
Britain,Ground_vehicles,2025-01-27,9.7 ~ 10.7,9.7,8778.0,1029.22857712463,0.6114073706994759,0.0879403053087263,0.1011528822055138,0.11136153302429849,0.27843851965301963
Britain,Ground_vehicles,2025-01-27,10.0 ~ 11.0,10.0,7534.0,993.7659211574196,0.6221742898858508,0.102460844173082,0.1178550570745951,0.11505615946148041,0.28851467739307846
Britain,Ground_vehicles,2025-01-27,10.3 ~ 11.3,10.3,6484.0,1069.6765037014188,0.6350817859346083,0.0817705120296113,0.0746452806909315,0.1262084728565331,0.32494886881909507
Britain,Ground_vehicles,2025-01-27,10.7 ~ 11.7,10.7,11794.0,1095.477176651566,0.5715751568594201,0.0736747498728166,0.056200610479905,0.1199527870231909,0.3152187120460832
Britain,Ground_vehicles,2025-01-27,11.0 ~ 12.0,11.0,9252.0,1047.2974569205114,0.5376900453955902,0.0939169909208819,0.0716418071768266,0.11341349690669254,0.3072218258135732
Britain,Ground_vehicles,2025-01-27,11.3 ~ 12.3,11.3,9252.0,1047.2974569205114,0.5376900453955902,0.0939169909208819,0.0716418071768266,0.11341349690669254,0.3072218258135732
Britain,Ground_vehicles,2025-01-27,11.7 ~ 12.7,11.7,9252.0,1047.2974569205114,0.5376900453955902,0.0939169909208819,0.0716418071768266,0.11341349690669254,0.3072218258135732
Britain,Ground_vehicles,2025-01-27,12.0 ~ 13.0,12.0,2583.0,1291.5,0.593609485094851,0.0,0.0,0.13261932525180284,0.3885040447949875
