nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,avgwr,Combined1
Italy,Ground_vehicles,2025-03-13,8.7 ~ 9.7,8.7,5380.0,633.0621747211895,0.57058812267658,0.0213215613382899,0.0249386617100371,0.1460253778682196,0.3919830043646155,0.578684263621375,0.2983713647902312
Japan,Ground_vehicles,2025-03-07,7.3 ~ 8.3,7.3,4841.0,718.8270329821663,0.579415120842801,0.102869241892171,0.0949493906217723,0.1309071642613748,0.3947906426198697,0.6042857694069048,0.2980645762332932
USA,Ground_vehicles,2025-01-30,4.3 ~ 5.3,4.3,7356.0,973.758020663404,0.539983020663404,0.1108197389885807,0.1566761827079935,0.1613753178454987,0.4248282823551916,0.4573148177672855,0.2889268003727849
Germany,Ground_vehicles,2025-02-08,9.3 ~ 10.3,9.3,38814.0,2018.1802302863227,0.5172579610449838,0.1370528675220281,0.1538924099551708,0.0833101379028301,0.211251957527976,0.5193544228628969,0.1430894147450846
Italy,Ground_vehicles,2025-03-10,2.3 ~ 3.3,2.3,148.0,10.667567567567568,0.301295945945946,0.0,0.0,0.0506385463085698,0.2257406236553413,0.5190957191175888,-0.0898071545353178
USA,Ground_vehicles,2025-03-22,8.3 ~ 9.3,8.3,9989.0,618.2605199052291,0.5075429472419661,0.0677044749224146,0.076838522374612,0.099135288077688,0.270802283364512,0.5041840210301494,0.1637442094620888
Japan,Ground_vehicles,2025-01-21,8.7 ~ 9.7,8.7,10314.0,1038.0903222157583,0.5794616249757611,0.0832741904207872,0.0984380453752181,0.0902433505016047,0.2238850173340976,0.5950755771173567,0.2141174071820843
USSR,Ground_vehicles,2025-01-27,10.3 ~ 11.3,10.3,53145.0,4363.119653777401,0.4140978078840907,0.123109041302098,0.114647285727726,0.0664092994316903,0.1490164386114636,0.4203270631312965,0.0079488753632138
Italy,Ground_vehicles,2025-01-30,7.3 ~ 8.3,7.3,4142.0,446.5978512795752,0.5883563978754225,0.0947464992757122,0.1052848865282472,0.096889835384799,0.2984268447507558,0.5337560303902225,0.2522611675437003
Sweden,Ground_vehicles,2025-03-28,10.0 ~ 11.0,10.0,9149.0,994.7180074325064,0.6066616898021642,0.1350322439610886,0.1244726199584654,0.1056623904280638,0.2974817990769937,0.6052414072201866,0.2760942809198936
USA,Ground_vehicles,2025-03-19,3.7 ~ 4.7,3.7,5475.0,528.6897351598174,0.5345088584474885,0.0939963470319634,0.1218940639269406,0.1729844030681105,0.4766127398113988,0.5228661892919136,0.3084285132480459
Germany,Ground_vehicles,2025-03-13,8.7 ~ 9.7,8.7,17599.0,1220.755220467072,0.4917623330871072,0.108012387067447,0.1230217626001477,0.0932253016363829,0.2387660514977838,0.5037805572498331,0.1333594791257002
Japan,Ground_vehicles,2025-02-17,6.3 ~ 7.3,6.3,4929.0,467.71993981199705,0.5819874619598296,0.0275025360113613,0.0233272469060661,0.1559899568442181,0.4161673831203079,0.5918263890252138,0.3244605117971414
Japan,Ground_vehicles,2025-01-03,10.3 ~ 11.3,10.3,23364.0,4672.8,0.6168948810135251,0.1199623352165725,0.1221434685841465,0.1253724474084541,0.3887327344192595,0.5602272662202356,0.3298409315491689
Britain,Ground_vehicles,2025-01-15,2.3 ~ 3.3,2.3,744.0,35.22443036354326,0.5936759408602151,0.0,0.0,0.1491923794244273,0.4917562483001387,0.3695696870711109,0.3567928962408299
Japan,Ground_vehicles,2025-03-31,10.7 ~ 11.7,10.7,16518.0,3303.6,0.5661156980263954,0.098292771521976,0.1285748880009686,0.1331215026264141,0.3734229843856179,0.5602272662202356,0.2791244725759979
Japan,Ground_vehicles,2025-03-07,9.3 ~ 10.3,9.3,5327.0,991.5520148926852,0.5775000563168763,0.1375164257555847,0.1925229960578187,0.0993412031212676,0.2023421618407365,0.6013184067987887,0.2110412374886057
USA,Ground_vehicles,2025-02-05,11.0 ~ 12.0,11.0,38228.0,3203.4571596735377,0.4639551977608036,0.0654182797949147,0.0535063304384221,0.1009888832246096,0.2645740272059434,0.5121232240597264,0.1193169450479727
Germany,Ground_vehicles,2025-01-18,4.3 ~ 5.3,4.3,7186.0,615.2416365154468,0.5689555663790704,0.3209518508210409,0.283497077650988,0.1726546198772215,0.4930120390432548,0.5891815667033683,0.3481165522187038
France,Ground_vehicles,2025-03-19,7.3 ~ 8.3,7.3,8889.0,655.2319439757003,0.706438935763303,0.0041174485318933,0.0021959725503431,0.1755113693555574,0.4936252164643042,0.7159412926824411,0.4877067048367175
Germany,Ground_vehicles,2025-02-05,2.7 ~ 3.7,2.7,6496.0,431.0176262315271,0.3677341748768472,0.2844642857142857,0.255625,0.1169939915200952,0.2646249829531817,0.3848506426149431,0.03377229255264
USSR,Ground_vehicles,2025-03-10,6.0 ~ 7.0,6.0,12098.0,655.7861480449346,0.5808172011902795,0.0703942800462886,0.0610811704413952,0.1587454000112548,0.4170059110145312,0.5449083565412772,0.325404605965614
France,Ground_vehicles,2025-01-24,4.0 ~ 5.0,4.0,1564.0,340.2003410059676,0.5007023657289001,0.157544757033248,0.1299744245524296,0.1637204949056912,0.2993363580571831,0.6370088419363591,0.2094192225691324
