nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,avgwr,Combined1
France,Ground_vehicles,2025-03-19,8.3 ~ 9.3,8.3,8318.0,874.1641320028853,0.6117293820629959,0.0697811974032219,0.0793652320269295,0.1078057455681896,0.30737004112269,0.6155310341997917,0.28588223230526594
France,Ground_vehicles,2025-03-19,8.7 ~ 9.7,8.7,11603.0,908.0500043092304,0.6130590106007068,0.074594501422046,0.0963587003361199,0.1067487742142605,0.3048028236961681,0.6173590695070814,0.28565303451822827
France,Ground_vehicles,2025-03-19,9.0 ~ 10.0,9.0,9839.0,1007.5988413456652,0.6140584307348309,0.0622959650370972,0.0950442118101433,0.1057041042847508,0.3091833372037299,0.6186469905836712,0.287415415477317
France,Ground_vehicles,2025-03-19,9.3 ~ 10.3,9.3,9839.0,1007.5988413456652,0.6140584307348309,0.0622959650370972,0.0950442118101433,0.1057041042847508,0.3091833372037299,0.6186469905836712,0.287415415477317
France,Ground_vehicles,2025-03-19,9.7 ~ 10.7,9.7,4849.0,811.448999793772,0.6158105382553105,0.0587915034027634,0.0944297793359455,0.1037202855369525,0.3086155019647757,0.6253113556551639,0.2876572105771912
France,Ground_vehicles,2025-03-19,10.0 ~ 11.0,10.0,693.0,693.0,0.5426,0.0,0.0,0.1051843504542369,0.3565399761328664,0.574875,0.23138058945476628
France,Ground_vehicles,2025-03-19,10.3 ~ 11.3,10.3,693.0,693.0,0.5426,0.0,0.0,0.1051843504542369,0.3565399761328664,0.574875,0.23138058945476628
France,Ground_vehicles,2025-03-19,10.7 ~ 11.7,10.7,693.0,693.0,0.5426,0.0,0.0,0.1051843504542369,0.3565399761328664,0.574875,0.23138058945476628
France,Ground_vehicles,2025-03-19,11.0 ~ 12.0,11.0,12733.0,1819.0,0.7695916280530903,0.1637383177570093,0.1920026702269693,0.1192614464618118,0.3822710423980981,0.7726099141028043,0.4763160085152237
France,Ground_vehicles,2025-03-19,11.3 ~ 12.3,11.3,12733.0,1819.0,0.7695916280530903,0.1637383177570093,0.1920026702269693,0.1192614464618118,0.3822710423980981,0.7726099141028043,0.4763160085152237
France,Ground_vehicles,2025-03-19,11.7 ~ 12.7,11.7,12733.0,1819.0,0.7695916280530903,0.1637383177570093,0.1920026702269693,0.1192614464618118,0.3822710423980981,0.7726099141028043,0.4763160085152237
France,Ground_vehicles,2025-03-19,12.0 ~ 13.0,12.0,12733.0,1819.0,0.7695916280530903,0.1637383177570093,0.1920026702269693,0.1192614464618118,0.3822710423980981,0.7726099141028043,0.4763160085152237
France,Ground_vehicles,2025-03-16,1.7 ~ 2.7,1.7,184.0,34.80797101449275,0.1739130434782609,0.0,0.0,0.0345449223752711,0.6279256992682178,0.2623222926100422,-0.09398078036349203
France,Ground_vehicles,2025-03-16,2.0 ~ 3.0,2.0,359.0,71.95078922934076,0.4166908077994429,0.3598885793871866,0.4615041782729805,0.0462817692445694,0.3383380914043962,0.32199946053306816,0.06018105055399006
France,Ground_vehicles,2025-03-16,2.3 ~ 3.3,2.3,663.0,108.65510306686777,0.4689363499245852,0.1948717948717948,0.249894419306184,0.1040221975619937,0.4706375176126149,0.4156313872746339,0.1949374268658738
France,Ground_vehicles,2025-03-16,2.7 ~ 3.7,2.7,1180.0,123.54180790960451,0.6096062711864407,0.1115847457627118,0.1439491525423728,0.2081993176388166,0.5172677916862602,0.5802454443497029,0.42051719136541726
France,Ground_vehicles,2025-03-16,3.0 ~ 4.0,3.0,1188.0,134.64478114478115,0.6449513468013468,0.1108333333333333,0.1429797979797979,0.2185063953411944,0.4785395809692525,0.5944995199463385,0.4498302865613434
France,Ground_vehicles,2025-03-16,3.3 ~ 4.3,3.3,1244.0,138.75723472668813,0.6403635048231513,0.0019855305466237,0.0033601286173633,0.2324100744697458,0.5083065114569222,0.6353567119547171,0.46441468273515707
France,Ground_vehicles,2025-03-16,3.7 ~ 4.7,3.7,940.0,134.47446808510637,0.6758504255319149,0.002627659574468,0.0044468085106382,0.2518793306548535,0.4699617030738571,0.6543772671673339,0.5000993068716417
France,Ground_vehicles,2025-03-16,4.0 ~ 5.0,4.0,1531.0,314.71608970172,0.6163605486610059,0.1224297844546048,0.0927498367080339,0.2318015330159355,0.3973661299944723,0.6370088419363591,0.4030632909377782
France,Ground_vehicles,2025-03-16,4.3 ~ 5.3,4.3,2194.0,358.103388027955,0.6303232452142207,0.0854329990884229,0.064721969006381,0.1919483137915415,0.3395164363994559,0.6604836714058083,0.3712197955204061
France,Ground_vehicles,2025-03-16,4.7 ~ 5.7,4.7,2748.0,353.3632338670548,0.6354494177583697,0.2647270742358079,0.1826855895196506,0.1592468524660636,0.2706799287545084,0.6595452935704886,0.33164423777601937
France,Ground_vehicles,2025-03-16,5.0 ~ 6.0,5.0,3632.0,339.0769548458149,0.644015005506608,0.200294603524229,0.1382213656387665,0.1630442376591766,0.3187337144179882,0.6561151270826856,0.35874079468880965
France,Ground_vehicles,2025-03-16,5.3 ~ 6.3,5.3,3306.0,440.5929118773946,0.6322226255293406,0.2196309739866908,0.1578402903811252,0.0962763335506717,0.2098450455997152,0.6341760177134457,0.2662210638587931
France,Ground_vehicles,2025-03-16,5.7 ~ 6.7,5.7,6336.0,642.99757996633,0.6446440340909091,0.1145991161616161,0.0823579545454545,0.1428371079075902,0.3589766083190985,0.6616872754287169,0.35931275852762395
France,Ground_vehicles,2025-03-16,6.0 ~ 7.0,6.0,5678.0,681.166138311612,0.6436218738992604,0.0327703416696019,0.0284959492779147,0.1517055586172352,0.3901675652365559,0.6620442222890063,0.37458357516211216
France,Ground_vehicles,2025-03-16,6.3 ~ 7.3,6.3,5375.0,702.5035348837209,0.6259214511627907,0.0455944186046511,0.0349320930232558,0.1434759334281912,0.3620618520488015,0.6602535601001046,0.342043019558217
France,Ground_vehicles,2025-03-16,6.7 ~ 7.7,6.7,11318.0,779.3040731578017,0.6814905813748011,0.0052129351475525,0.0022936914649231,0.1773467015779216,0.4851022910096232,0.7038180663605274,0.4611425475319014
France,Ground_vehicles,2025-03-16,7.0 ~ 8.0,7.0,8450.0,723.3716863905325,0.6995195384615385,0.00698224852071,0.0030721893491124,0.1805806064844108,0.5072723456304442,0.7207349525926626,0.488707913475094
France,Ground_vehicles,2025-03-16,7.3 ~ 8.3,7.3,9126.0,687.2463017751479,0.6997659544159543,0.0064650449265833,0.0028446197676966,0.1748810940489935,0.4949415933980733,0.7159412926824411,0.48105231365414247
France,Ground_vehicles,2025-03-16,7.7 ~ 8.7,7.7,10374.0,652.7932764603818,0.6931474744553691,0.0244264507422402,0.0165750915750915,0.1674327682757098,0.4716556868711787,0.7038291741514873,0.4617190418550943
France,Ground_vehicles,2025-03-16,8.0 ~ 9.0,8.0,3622.0,296.3526918829376,0.6554623412479293,0.0699613473219216,0.0474737713970182,0.1325342184611884,0.3701540051154351,0.6681272907773548,0.3669914144465207
France,Ground_vehicles,2025-03-16,8.3 ~ 9.3,8.3,8422.0,889.48883875564,0.6087090002374732,0.0714675848966991,0.0814770838280693,0.1077167001992271,0.3095263630273415,0.6155310341997917,0.2835206014582632
France,Ground_vehicles,2025-03-16,8.7 ~ 9.7,8.7,12033.0,935.6020776198786,0.6115944070472865,0.0710338236516247,0.0881442699243746,0.1062627678689779,0.3031823238543387,0.6173590695070814,0.28332512429152057
France,Ground_vehicles,2025-03-16,9.0 ~ 10.0,9.0,10204.0,1037.7353586828694,0.6126986867894942,0.0589327714621717,0.0870923167385339,0.1051854087629419,0.3065023875725772,0.6186469905836712,0.28481746408728176
France,Ground_vehicles,2025-03-16,9.3 ~ 10.3,9.3,10204.0,1037.7353586828694,0.6126986867894942,0.0589327714621717,0.0870923167385339,0.1051854087629419,0.3065023875725772,0.6186469905836712,0.28481746408728176
France,Ground_vehicles,2025-03-16,9.7 ~ 10.7,9.7,5175.0,866.0942608695651,0.6146155942028986,0.0488599033816425,0.0723555555555555,0.1015192698587938,0.2980268735983676,0.6253113556551639,0.2814703768371116
France,Ground_vehicles,2025-03-16,10.0 ~ 11.0,10.0,738.0,738.0,0.5304,0.0,0.0,0.0965451648334129,0.3300399019827313,0.574875,0.20460236713930252
France,Ground_vehicles,2025-03-16,10.3 ~ 11.3,10.3,738.0,738.0,0.5304,0.0,0.0,0.0965451648334129,0.3300399019827313,0.574875,0.20460236713930252
France,Ground_vehicles,2025-03-16,10.7 ~ 11.7,10.7,738.0,738.0,0.5304,0.0,0.0,0.0965451648334129,0.3300399019827313,0.574875,0.20460236713930252
France,Ground_vehicles,2025-03-16,11.0 ~ 12.0,11.0,13715.0,1959.2857142857144,0.7645730295297121,0.1605920524972657,0.1870309879693766,0.1165715482675469,0.371684531815605,0.7726099141028043,0.4659806297704948
France,Ground_vehicles,2025-03-16,11.3 ~ 12.3,11.3,13715.0,1959.2857142857144,0.7645730295297121,0.1605920524972657,0.1870309879693766,0.1165715482675469,0.371684531815605,0.7726099141028043,0.4659806297704948
France,Ground_vehicles,2025-03-16,11.7 ~ 12.7,11.7,13715.0,1959.2857142857144,0.7645730295297121,0.1605920524972657,0.1870309879693766,0.1165715482675469,0.371684531815605,0.7726099141028043,0.4659806297704948
France,Ground_vehicles,2025-03-16,12.0 ~ 13.0,12.0,13715.0,1959.2857142857144,0.7645730295297121,0.1605920524972657,0.1870309879693766,0.1165715482675469,0.371684531815605,0.7726099141028043,0.4659806297704948
